11936587509799644179762--*,1193658750979964417976268801--Cast
11953325645501734338463444927--ArrayRef,119533256455017343384634449272787--A
119533256--Compound,1195332567887--Decl
1194835999679559304--ExprList,119483599967955930435340--arr_size
1195332565164--Decl,119533256516415367--22
11948359953962714487329175284923559830298919--FuncCall,1194835995396271448732917528492355983029891915969--printf
1194920445853985060--ParamList,119492044585398506013270--Decl
119483599539627144873291752849235510261490708837136493--+,11948359953962714487329175284923551026149070883713649393501--ArrayRef
1194835995396271448732917528492355102614907088371--+,119483599539627144873291752849235510261490708837184553--ArrayRef
1195332565164--Decl,119533256516455731--sum
1194--FuncDef,119492044--Decl
11948359953962714487329175284923555621678899--+,1194835995396271448732917528492355562167889926310--+
1195332568996--Return,119533256899697464--0
119365875097996441---,11936587509799644179762--*
1194835995396271911--<,119483599539627191159334---
1--FileAST,1193--FuncDef
119483599539627144884769--=,11948359953962714488476997068--l
119483599539621544332801--Decl,11948359953962154433280134486--i
11936587--Compound,1193658750979--Return
119483599--Compound,11948359964488--Decl
1--FileAST,1194--FuncDef
1193249673276441609--cmpfunc,119324967327644160967704--int
1193658750979964418036035444--Cast,119365875097996441803603544481308--a
1194835995396271448732917528492355983029891942726--ExprList,11948359953962714487329175284923559830298919427266657--ArrayRef
119483599539621544332801--Decl,11948359953962154433280144997--0
119533256--Compound,1195332568996--Return
1193658750979964417976268801--Cast,119365875097996441797626880189602--b
11948359953962714487329175838--<,1194835995396271448732917583834341--l
11956634238980--FuncDecl,1195663423898028387--main
11948359953962--For,1194835995396215443--DeclList
119483599539627144873291752849235598302--Compound,11948359953962714487329175284923559830226098--Return
11953325645501--Decl,119533256455015962--arr_size
1195332567598--FuncCall,119533256759831803--ExprList
119483599539627144873291752849235598302989194272677917--ArrayRef,11948359953962714487329175284923559830298919427267791777203--l
11948359996795--FuncCall,1194835999679559304--ExprList
11932496732764--FuncDecl,1193249673276441609--cmpfunc
119483599539627144873291752849235598302--Compound,11948359953962714487329175284923559830298919--FuncCall
1193--FuncDef,11936587--Compound
119483599539627144837851--=,11948359953962714483785144485---
11948359953962714483785144485---,1194835995396271448378514448545053--1
1194835995396271448732917528492355--If,119483599539627144873291752849235598302--Compound
119483599539627144873291752849235556216788992631075393--ArrayRef,11948359953962714487329175284923555621678899263107539366793--A
119492044585398506068705179586558--A,11949204458539850606870517958655888714--int
119492044--Decl,11949204458539--FuncDecl
11948359953962714487329175838--<,119483599539627144873291758383310--r
1193--FuncDef,119324967--Decl
1193249673276476724520629287442281--b,11932496732764767245206292874422811326--void
1194835995396271448732917528492355102614907088371--+,119483599539627144873291752849235510261490708837136493--+
119483599--Compound,11948359953962--For
11948359953962714487329175284923559830298919427266657--ArrayRef,1194835995396271448732917528492355983029891942726665791296--A
1194835995396271448--Compound,119483599539627144884769--=
119566342--Decl,11956634238980--FuncDecl
11949204458539--FuncDecl,1194920445853936158--find3Numbers
119483599539627144873291752849235510261490708837184553--ArrayRef,11948359953962714487329175284923551026149070883718455351105--A
11949204458539850601327011555--arr_size,1194920445853985060132701155516101--int
11948359985778--Decl,1194835998577886058--l
1194835995396271448732917528492355--If,119483599539627144873291752849235556216--==
1194835998577886058--l,119483599857788605812624--int
11948359953962714487329175284923551026163499--++,1194835995396271448732917528492355102616349973652--l
119324967327647672452062--Decl,11932496732764767245206292874--PtrDecl
119483599539627191159334---,11948359953962719115933475731--arr_size
11948359953962714487329175284923555621678899--+,1194835995396271448732917528492355562167889979177--ArrayRef
1194835995396271448--Compound,119483599539627144873291--While
1195332567887--Decl,119533256788790602--ArrayDecl
119365875097996441803603544439613421--PtrDecl,11936587509799644180360354443961342152034--None
11948359953962--For,1194835995396271448--Compound
1194835999679559304936968295392417--None,119483599967955930493696829539241763557--int
1195332567887--Decl,119533256788796769--InitList
1194920445853936158--find3Numbers,119492044585393615899814--bool
119483599539627144873291752849235556216--==,11948359953962714487329175284923555621673617--sum
11948359953962714487329175284923559830298919--FuncCall,1194835995396271448732917528492355983029891942726--ExprList
1194920445853985060--ParamList,11949204458539850606870--Decl
1193249673276476724--ParamList,119324967327647672452062--Decl
119483599539627144873291752849235556216788992631074282--ArrayRef,11948359953962714487329175284923555621678899263107428299644--i
1195332567598--FuncCall,119533256759810981--find3Numbers
1194835999679559304--ExprList,119483599967955930429941--cmpfunc
11949204458539--FuncDecl,1194920445853985060--ParamList
