1194633418404753771207729927--If,119463341840475377120772992750442--!=
11957759141467900331734367133--ExprList,1195775914146790033173436713393105--arr
119453937847207711822012--Decl,11945393784720771182201275447--ArrayDecl
1195775915264065439--n,119577591526406543996297--int
1194633415808649151659696731--*,11946334158086491516596967319094--n
11946334171145139711033240351--ArrayRef,1194633417114513971103324035193123--arr
11946334184047537712077299275044235267--ArrayRef,1194633418404753771207729927504423526786011--arr
11945393784720--FuncDecl,1194539378472077118--ParamList
11946334184047--For,119463341840475377--Compound
11946334184047537712077299275044235267--ArrayRef,1194633418404753771207729927504423526762466--k
11945393784720771182201275447--ArrayDecl,1194539378472077118220127544765703--arr
119577591414679003317343--FuncCall,11957759141467900331734367133--ExprList
11931354439071533769148231893--num2,1193135443907153376914823189336363--int
11946334158086491515898--brr,1194633415808649151589858803--int
11946334184047537712077--For,1194633418404753771207755983--<
1194633418404753779799258732--currHam,11946334184047537797992587322587--int
11945393784720771188253591337--n,1194539378472077118825359133730459--int
1194633415808649151--ArrayDecl,119463341580864915165969--+
11935562922620672485939-->,11935562922620672485939738--num1
11946334171145--For,1194633417114545340--DeclList
11946334154108--Decl,1194633415410833858--maxHam
1195775915264074160--/,119577591526407416011433--sizeof
11946334184047537797992--Decl,1194633418404753779799221557--0
1195775918840247600--ArrayDecl,119577591884024760080294--arr
11946334184047537712077299275044230424--ArrayRef,119463341840475377120772992750442304241077--j
119463341580864915165969--+,11946334158086491516596971537--1
11935562922620672485939-->,1193556292262067248593989754--num2
11946334171145139711033240351--ArrayRef,1194633417114513971103324035118271--i
1195--FuncDef,119597783--Decl
119453937--Decl,11945393784720--FuncDecl
119463341840475377120774894750870--++,11946334184047537712077489475087082657--j
119313544--Decl,11931354439071--FuncDecl
1194633418404753771207729927--If,11946334184047537712077299274674--++
11957759188402--Decl,1195775918840247600--ArrayDecl
119313544390715337689663--Decl,11931354439071533768966387925--num1
1194633417114513971385479817039484--+,119463341711451397138547981703948478512--n
1194633417114541391--<,119463341711454139154423--i
11931354439071--FuncDecl,1193135443907123573--max
119313544390715337691482--Decl,11931354439071533769148231893--num2
119463341711454534068111--Decl,11946334171145453406811170322--i
11945393784720--FuncDecl,1194539378472070491--maxHamming
11946334184047537797992--Decl,1194633418404753779799258732--currHam
119577591884028703--InitList,11957759188402870330279--2
11946334184047933524003641327--i,1194633418404793352400364132791104--int
119463341840475377120778500021189--Decl,11946334184047537712077850002118982692--k
11946334171145--For,1194633417114574692--++
11946334184047--For,1194633418404774190--<
