11939093931462797424901781132--DeclList,1193909393146279742490178113270692--Decl
1193909399741933552112--ArrayDecl,119390939974193355211252091--rslt
11946933473959384622356--InitList,1194693347395938462235633959--1
11939093931462--For,1193909393146293076--++
1193909393146279742490172617647558983374379092458612726888--ArrayRef,119390939314627974249017261764755898337437909245861272688876613--mat2
11937969022617579026728866994--ArrayDecl,1193796902261757902672886699432543--ArrayDecl
119390939314629625577200--Decl,11939093931462962557720075628--0
11939093931462797424901726176--Compound,1193909393146279742490172617668916--FuncCall
119469334216533653--InitList,11946933421653365368141--InitList
119379690226175790228809670617422636650--mat1,11937969022617579022880967061742263665038859--int
119390939505519339--ExprList,1193909395055193397559--"Multiplication of given two matrices is:\n\n"
1193909393146279742490178113270692--Decl,11939093931462797424901781132706926480--0
119379690226175790267288669943254352686--mat2,11937969022617579026728866994325435268655714--int
1194693342165336535941--InitList,119469334216533653594187668--2
1193909399741933552--ArrayDecl,119390939974193355247743--4
1193909393146279742490172617631054--=,119390939314627974249017261763105466664--0
119390939314627974249017261764755898337437909245883368--ArrayRef,1193909393146279742490172617647558983374379092458833689123--ArrayRef
11939093931462--For,1193909393146279742--Compound
1193909393146279742490172617631054--=,119390939314627974249017261763105411298--ArrayRef
119469334652117178340713--FuncCall,11946933465211717834071337822--ExprList
119487887378597400182845--Typename,11948788737859740018284559079--None
1--FileAST,1193--FuncDef
11946933473959384678753--InitList,1194693347395938467875394671--4
11939093931462797424901726176689163470039009--ArrayRef,1193909393146279742490172617668916347003900930275--ArrayRef
1194693342165336532285--InitList,119469334216533653228596698--4
11939093931462797424901726176475588332659611--Decl,1193909393146279742490172617647558833265961129044--k
1193796902261757902288096706174226--ArrayDecl,119379690226175790228809670617422636650--mat1
1--FileAST,1194--FuncDef
11948788737859--FuncDecl,1194878873785932353--main
119469334216533653--InitList,11946933421653365310122--InitList
1194878873785932353--main,119487887378593235312662--int
119469334--Compound,11946933424506--Return
119469334--Compound,11946933476484--FuncCall
11946933473959384622356--InitList,1194693347395938462235686896--1
11946933473959384678753--InitList,1194693347395938467875392777--4
119469334652117178340713--FuncCall,11946933465211717834071316526--printf
11946933473959384663857--InitList,1194693347395938466385730484--3
11939093931462797424901726176--Compound,1193909393146279742490172617647558--For
1193--FuncDef,119379690--Decl
1193909393146215979--<,119390939314621597924398--i
11939093931462797424901726176475589833743790924586127--ArrayRef,1193909393146279742490172617647558983374379092458612777975--j
11946933421653365310122--InitList,1194693342165336531012256194--3
1193909393146279742490172617647558983374379092458833689123--ArrayRef,119390939314627974249017261764755898337437909245883368912352318--i
1194693342165336535941--InitList,119469334216533653594169380--2
1194693347395--Decl,119469334739536258--ArrayDecl
119469334--Compound,1194693342165--Decl
1193--FuncDef,119390939--Compound
119390939314627974249017261764755898337437907785996898--ArrayRef,11939093931462797424901726176475589833743790778599689884708--rslt
11939093931462797424901726176475589833743790924586127--ArrayRef,1193909393146279742490172617647558983374379092458612726888--ArrayRef
11946933473959384645314--InitList,1194693347395938464531470456--2
119469334652117178334376--FuncCall,1194693346521171783343769903--ExprList
11946933473959384678753--InitList,1194693347395938467875363978--4
11946933473959384645314--InitList,1194693347395938464531468686--2
11939093931462--For,1193909393146215979--<
119487887--Decl,11948788737859--FuncDecl
119390939314627974249017261764755877366--<,11939093931462797424901726176475587736675628--4
1194693347395--Decl,119469334739593846--InitList
11939093931462797424901726176310541129816859--ArrayRef,1193909393146279742490172617631054112981685968635--i
119390939314627974249017261764755898337437909245883368--ArrayRef,11939093931462797424901726176475589833743790924588336885701--k
1193909393146279742490172617668916347003900930275--ArrayRef,119390939314627974249017261766891634700390093027596845--i
119469334216560184--ArrayDecl,11946933421656018427678--ArrayDecl
1193909393146279742490172617647558833265961129044--k,119390939314627974249017261764755883326596112904421249--int
11937969022617--FuncDecl,1193796902261781910--mulMat
11939093931462797424901774902--<,1193909393146279742490177490213808--4
1193909399741933552112--ArrayDecl,119390939974193355211237737--4
119379690226175790228809--Decl,11937969022617579022880967061--ArrayDecl
1193909393146279742490172617647558983374379077859--ArrayRef,119390939314627974249017261764755898337437907785996898--ArrayRef
1194--FuncDef,119487887--Decl
11939093931462797424901726176475589833743790--+=,1193909393146279742490172617647558983374379092458--*
1194693342165601842767823520--mat1,119469334216560184276782352018073--int
1194--FuncDef,119469334--Compound
11939093931462797424901726176--Compound,1193909393146279742490172617631054--=
119390939314627974225837--FuncCall,11939093931462797422583789557--printf
11939093931462797424901726176310541129816859--ArrayRef,1193909393146279742490172617631054112981685957843--rslt
1193909393146279742490172617668916--FuncCall,119390939314627974249017261766891692870--printf
119390939314627974249017261764755898337437907785996898--ArrayRef,11939093931462797424901726176475589833743790778599689875300--i
1193796902261757902288096706174226--ArrayDecl,119379690226175790228809670617422631477--4
1194693342165336535941--InitList,11946933421653365359415333--2
11946933421653365368141--InitList,1194693342165336536814111681--1
1193796902261757902--ParamList,119379690226175790267288--Decl
119390939--Compound,11939093950551--FuncCall
119469334216533653--InitList,1194693342165336532285--InitList
119390939974193355211252091--rslt,11939093997419335521125209126211--int
119469334652117178333664--FuncCall,11946933465211717833366461490--ExprList
1193909393146279742490178113270692--Decl,119390939314627974249017811327069272468--j
1194693347648443618--ExprList,119469334764844361880198--mat1
