1194279924152544549--main,119427992415254454977173--int
11934138528996977291058--For,1193413852899697729105852832--++
119341385--Compound,11934138553567--Decl
119341385289969772910585630583450--For,11934138528996977291058563058345097354--DeclList
119415144--Compound,11941514462644--Decl
1193413852899697729105856305834502615522342917596570691839--ArrayRef,119341385289969772910585630583450261552234291759657069183943266--k
119341385289969772--Compound,11934138528996977291058--For
11934138528996977291058563058345026155223427158699162435559187--ArrayRef,1193413852899697729105856305834502615522342715869916243555918798435--A
11941514433771--FuncCall,1194151443377165579--find3Numbers
119341385--Compound,11934138528996--For
11934138528996--For,1193413852899688939--DeclList
11941514462644--Decl,1194151446264489106--22
119415144585443658835101--sizeof,11941514458544365883510177807--A
119341385289969772910585630583450261552234271586991624355--ExprList,1193413852899697729105856305834502615522342715869916243559256--"Triplet is %d, %d, %d"
1193413852899697729105856305834502615522342917596570691839--ArrayRef,119341385289969772910585630583450261552234291759657069183942370--A
11941514475861--Decl,1194151447586171062--ArrayDecl
1194151447586183330--InitList,119415144758618333094264--10
11934138528996977291058993196060392763--+,1193413852899697729105899319606039276323896--1
11934138528996977291058563058345090409--<,1193413852899697729105856305834509040993121--arr_size
119341385289969772910585630583450261552234271586991624355--ExprList,11934138528996977291058563058345026155223427158699162435576866--ArrayRef
119384437937446841464154--Decl,11938443793744684146415443109--sum
119341385289961052--<,11934138528996105231211--i
11934138528996977291058563058345097354359951776--+,119341385289969772910585630583450973543599517766547--j
119384437--Decl,11938443793744--FuncDecl
11934138528996977291058563058345090409--<,1193413852899697729105856305834509040941323--k
11941514475861--Decl,1194151447586183330--InitList
1194151443377179948--ExprList,119415144337717994887003--arr_size
1193413852899697729105856305834502615522342917596570627946--+,119341385289969772910585630583450261552234291759657062794689789--ArrayRef
1--FileAST,1193--FuncDef
11934138528996977291058563058345097354359951776--+,1193413852899697729105856305834509735435995177627277--1
1193844379374495944--find3Numbers,119384437937449594428513--bool
1193413852899610528074---,119341385289961052807492363--2
1194151447586183330--InitList,119415144758618333043145--45
1194--FuncDef,119415144--Compound
1193413852899697729105852832--++,119341385289969772910585283273148--j
119341385289969772910585630583450973543599--Decl,11934138528996977291058563058345097354359951776--+
119427992--Decl,11942799241525--FuncDecl
1194151445854436588--/,119415144585443658835101--sizeof
1193413852899697729105856305834502615522342715869916--FuncCall,119341385289969772910585630583450261552234271586991624355--ExprList
11934138528996977291058563058345097354359932725--k,1193413852899697729105856305834509735435993272579699--int
119384437937446841435613--Decl,11938443793744684143561328932--arr_size
119341385--Compound,11934138525936--Decl
1193413852899697729105856305834502615522342715811313--Return,119341385289969772910585630583450261552234271581131350822--1
1193413852899688939926544190--i,119341385289968893992654419028486--int
11938443793744--FuncDecl,1193844379374495944--find3Numbers
11938443793744--FuncDecl,1193844379374468414--ParamList
119341385289961052--<,1193413852899610528074---
1193413855356778369--r,119341385535677836990064--int
119341385289969772910589931960603--Decl,11934138528996977291058993196060341168--j
1194151446264425981--sum,119415144626442598186524--int
1194--FuncDef,119427992--Decl
119415144--Compound,11941514475861--Decl
119341385289969772910589931960603--Decl,11934138528996977291058993196060392763--+
1193413852899678094--++,11934138528996780945857--i
119415144--Compound,11941514458544--Decl
119341385289969772910585466166813---,11934138528996977291058546616681368446--1
11934138528996977291058--For,1193413852899697729105899319--DeclList
1194151443377179948--ExprList,119415144337717994836608--A
11934138528996977291058563058345026155223427158699162435576866--ArrayRef,1193413852899697729105856305834502615522342715869916243557686676439--A
11934138578949--Return,1193413857894952672--0
11941514462139--Return,1194151446213961724--0
11941514458544--Decl,1194151445854494948--arr_size
11934138528996--For,1193413852899678094--++
119384437937446841416844--Decl,11938443793744684141684459063--ArrayDecl
11934138528996977291058563058345026155223427158699162435559187--ArrayRef,1193413852899697729105856305834502615522342715869916243555918711658--k
11941514458544365887675096515--ArrayRef,11941514458544365887675096515556--0
119341385289969772910585630583450261552234291759--==,11934138528996977291058563058345026155223429175975423--sum
119415144--Compound,11941514462139--Return
119415144--Compound,11941514433771--FuncCall
11934138528996977291058--For,1193413852899697729105854661--<
1193844379374468414--ParamList,119384437937446841464154--Decl
1193413852899697729105899319--DeclList,119341385289969772910589931960603--Decl
119341385289969772910585630583450261552234291759657062794689789--ArrayRef,11934138528996977291058563058345026155223429175965706279468978957073--j
11934138528996977291058563058345026155223429175965706--+,1193413852899697729105856305834502615522342917596570627946--+
11934138528996977291058563058345026155223427158699162435572041--ArrayRef,1193413852899697729105856305834502615522342715869916243557204151130--A
11938443793744684143561328932--arr_size,1193844379374468414356132893262937--int
1193844379374468414168445906318645--A,119384437937446841416844590631864543811--int
119341385289969772910585630583450261552234291759657062794618165--ArrayRef,11934138528996977291058563058345026155223429175965706279461816540449--i
119341385289969772910585630583450973543599--Decl,11934138528996977291058563058345097354359932725--k
119341385289969772910585630583450261552234271586991624355--ExprList,11934138528996977291058563058345026155223427158699162435572041--ArrayRef
1193413852899610528074---,119341385289961052807472076--arr_size
11934138553567--Decl,1193413855356778369--r
119341385--Compound,11934138578949--Return
119341385289969772910585630583450261552234271586991624355--ExprList,11934138528996977291058563058345026155223427158699162435559187--ArrayRef
119341385289968893992654--Decl,11934138528996889399265474161--0
1194151447586171062--ArrayDecl,119415144758617106252658--A
119341385289969772910585630583450261552234291759--==,11934138528996977291058563058345026155223429175965706--+
1193413852899697729105856305--Compound,119341385289969772910585630583450--For
11934138528996--For,119341385289961052--<
1194151447586183330--InitList,119415144758618333024070--4
11938443793744684141684459063--ArrayDecl,1193844379374468414168445906318645--A
119341385289969772910585630583450--For,11934138528996977291058563058345090409--<
11934138528996977291058563058345026155223427158--Compound,1193413852899697729105856305834502615522342715811313--Return
1193413852899688939--DeclList,119341385289968893992654--Decl
11934138528996977291058563058345026155--Compound,1193413852899697729105856305834502615522342--If
119341385289968893992654--Decl,1193413852899688939926544190--i
119341385289969772910585630583450261552234291759657062794618165--ArrayRef,11934138528996977291058563058345026155223429175965706279461816587615--A
11941514462644--Decl,1194151446264425981--sum
119341385289969772910585466166813---,11934138528996977291058546616681370730--arr_size
11934138528996--For,119341385289969772--Compound
11934138528996977291058563058345026155223427158699162435576866--ArrayRef,1193413852899697729105856305834502615522342715869916243557686688811--j
11934138528996977291058563058345026155223429175965706--+,1193413852899697729105856305834502615522342917596570691839--ArrayRef
1194151447586183330--InitList,119415144758618333030258--6
119341385289969772910585630583450261552234291759657062794689789--ArrayRef,1193413852899697729105856305834502615522342917596570627946897891278--A
1193413852899697729105856305834502615522342--If,11934138528996977291058563058345026155223427158--Compound
11934138528996977291058563058345033398--++,1193413852899697729105856305834503339887445--k
1193413852899697729105856305834502615522342917596570627946--+,119341385289969772910585630583450261552234291759657062794618165--ArrayRef
1193413852899697729105854661--<,119341385289969772910585466176289--j
11941514458544365887675096515--ArrayRef,1194151445854436588767509651589948--A
1194151445854436588--/,119415144585443658876750--sizeof
11934138528996977291058563058345026155223427158699162435572041--ArrayRef,1193413852899697729105856305834502615522342715869916243557204150025--i
11941514433771--FuncCall,1194151443377179948--ExprList
1194151447586183330--InitList,119415144758618333040540--1
11934138528996977291058993196060392763--+,1193413852899697729105899319606039276329325--i
1193--FuncDef,119341385--Compound
11941514458544--Decl,1194151445854436588--/
1194151447586183330--InitList,119415144758618333051684--8
119341385289969772910585630583450--For,11934138528996977291058563058345033398--++
1193413852899697729105856305834502615522342715869916--FuncCall,119341385289969772910585630583450261552234271586991679513--printf
11934138528996977291058--For,1193413852899697729105856305--Compound
11934138528996977291058563058345097354--DeclList,119341385289969772910585630583450973543599--Decl
1194151445854494948--arr_size,119415144585449494865674--int
1193413852899697729105856305834502615522342--If,119341385289969772910585630583450261552234291759--==
1193--FuncDef,119384437--Decl
1--FileAST,1194--FuncDef
1193413852899697729105854661--<,119341385289969772910585466166813---
119415144585443658876750--sizeof,11941514458544365887675096515--ArrayRef
11942799241525--FuncDecl,1194279924152544549--main
11934138525936--Decl,119341385259369194--l
119341385259369194--l,11934138525936919441626--int
11934138528996977291058563058345026155223427158--Compound,1193413852899697729105856305834502615522342715869916--FuncCall
1193844379374468414--ParamList,119384437937446841416844--Decl
11938443793744684146415443109--sum,1193844379374468414641544310920586--int
1194151443377179948--ExprList,11941514433771799484027--sum
1193844379374468414--ParamList,119384437937446841435613--Decl
119415144758617106252658--A,1194151447586171062526587990--int
119341385289969772910585630583450--For,11934138528996977291058563058345026155--Compound
11934138528996977291058993196060341168--j,1193413852899697729105899319606034116824285--int
