11939893990519693024248215618--arr,1193989399051969302424821561849816--int
11959655091686486204588670123405--*,1195965509168648620458867012340518897--sizeof
11967833281317628486182810214--left,1196783328131762848618281021488746--int
1196156359294872559944887559155198--ExprList,119615635929487255994488755915519851422--left
1197126792896--For,119712679289661755--=
1198--FuncDef,119830566--Decl
119712671484714706279797274740667712296651---,11971267148471470627979727474066771229665115892--mid
1196156359294872559944887559155198--ExprList,119615635929487255994488755915519883819--mid
11971267--Compound,1197126743432--=
11961563592948725599448875591--FuncCall,1196156359294872559944887559155198--ExprList
119615635929487255997155214561054--ExprList,11961563592948725599715521456105484453--temp
119398939905199998445592--right,11939893990519999844559241765--int
1196783328131762848--ParamList,119678332813176284871979--Decl
119678332813176284861828--Decl,11967833281317628486182810214--left
119712679289657669--<=,11971267928965766964125--i
11961563592948725594103266921670--ExprList,1196156359294872559410326692167053493--right
1196156354271444894--mid,119615635427144489440631--int
1196156359294872559410326692--FuncCall,11961563592948725594103266921670--ExprList
1197500701969124851--ParamList,119750070196912485176779--Decl
11971267148471470627979428245655490995--ArrayRef,1197126714847147062797942824565549099524473--++
1196156359294872559600920749--/,119615635929487255960092074988690--2
1196783328131762848--ParamList,119678332813176284869361--Decl
11961563537482--Decl,1196156353748281210--inv_count
119870389883732150--ArrayDecl,11987038988373215028891--arr
11975007019691248517993380276--ArrayDecl,1197500701969124851799338027620590--temp
119615635929487255997155214561054--ExprList,11961563592948725599715521456105469360--+
11939893990519--ParamList,1193989399051999984--Decl
1--FileAST,1195--FuncDef
1195965504371--Return,11959655043713805--FuncCall
11959655091686--Decl,1195965509168624921--PtrDecl
1197126792896--For,119712679289633773--++
11987038940025--Return,1198703894002559409--0
1197126764579--=,119712676457933--mid
119599561433856207070896--Decl,11959956143385620707089619870--ArrayDecl
11971267148471470627979--If,1197126714847147062797942824--Compound
11971267148471470627979428245655454867--ArrayRef,1197126714847147062797942824565545486773175--arr
11971267928965751484433--ArrayRef,1197126792896575148443348863--i
1--FileAST,1198--FuncDef
11959956143385620707089619870--ArrayDecl,119599561433856207070896198709597--arr
11971267928965751493028--ArrayRef,1197126792896575149302890002--i
119398939--FuncDecl,11939893947062--_mergeSort
11971267--Compound,1197126792896--For
1197126714847541991610634753---,119712671484754199161063475315865--mid
11971267148471470627979727472125349687--ArrayRef,1197126714847147062797972747212534968729915--temp
1194622155267--ParamList,119462215526747672--Decl
11939893990519727726577059066--temp,1193989399051972772657705906646801--int
11961563592948725596009--=,1196156359294872559600954291--mid
1195965504371380537908--ExprList,119596550437138053790822690--arr
11987038968186--FuncCall,1198703896818697320--getchar
119615635--Compound,11961563537482--Decl
11961563592948725594103266921670--ExprList,1196156359294872559410326692167064573--left
119712672727944341--=,11971267272794434194560--ArrayRef
1197126792896--For,119712679289657669--<=
11971267--Compound,1197126764579--=
119615635929487255997155214561054--ExprList,11961563592948725599715521456105463774--right
119615635929487255994488--+=,11961563592948725599448889612--inv_count
1197126764579--=,119712676457996764--j
11967833281317628489844126865--ArrayDecl,1196783328131762848984412686586665--temp
1196156359294872559600920749--/,119615635929487255960092074951589--+
119712671484714706279797274721253--=,1197126714847147062797972747212538611--ArrayRef
119712671484714706279797274740667--=,11971267148471470627979727474066779144--inv_count
119750070196912485176779--Decl,11975007019691248517677936006--ArrayDecl
1195965504371380537908--ExprList,11959655043713805379088711--0
119398939905197277265770--ArrayDecl,11939893990519727726577059066--temp
11961563592948725599715521456105469360--+,1196156359294872559971552145610546936084538--mid
1195--FuncDef,119596550--Compound
119678332813176284871979--Decl,11967833281317628487197990986--ArrayDecl
119712671484714706279797981530753--ArrayRef,11971267148471470627979798153075373864--j
11946221552677051085140--left,1194622155267705108514095105--int
1198703897534--FuncCall,119870389753442322--printf
11971267148471470627979727472125349687--ArrayRef,1197126714847147062797972747212534968784096--++
119398939905197695415177--left,11939893990519769541517764686--int
119615635--Compound,11961563592948--If
119599561433856207078405--Decl,11959956143385620707840525070--array_size
1197126776744--Return,119712677674472304--inv_count
11961563592948725599715521456105469360--+,1196156359294872559971552145610546936091053--1
119712679289657514--=,11971267928965751484433--ArrayRef
11959956143385--FuncDecl,1195995614338555618--mergeSort
1--FileAST,1194--Decl
11971267--Compound,1197126714847--While
11971267--Compound,1197126727279--While
1198305664828764832--ParamList,119830566482876483229372--Decl
