1194111--Decl,11941111--ArrayDecl
1196232422--ExprList,11962324221--arr
11962--Compound,119622--Decl
1--FileAST,1194--Decl
119611131--left,1196111311--int
1197212--Return,11972121--inv_count
11952--Compound,119522--Return
1196112--_mergeSort,11961121--int
119728213--Compound,1197282132--=
119711--FuncDecl,1197111--ParamList
1195111--ParamList,11951111--Decl
11962324224--+,119623242242--1
11972811--<=,119728112---
119511--FuncDecl,1195111--ParamList
1196232322--ExprList,11962323224--right
1197292--=,11972921--ArrayRef
11962323223--+,119623232231--mid
1197282112--ArrayRef,11972821121--arr
1195--FuncDef,11951--Decl
1197211--i,11972111--int
1195--FuncDef,11952--Compound
1193112--Decl,11931121--ArrayDecl
1196232--Compound,11962323--+=
1197282111--ArrayRef,11972821112--i
11972113--++,119721131--i
119721021--ArrayRef,1197210212--++
119821--Decl,1198212--InitList
1197111--ParamList,11971115--Decl
119522124---,1195221242--1
1196232121--+,11962321212--left
1197282121--=,11972821211--ArrayRef
11952122--FuncCall,119521221--malloc
11951112--Decl,119511121--array_size
1197282112--ArrayRef,11972821122--j
119728112---,1197281122--1
11952122--FuncCall,119521222--ExprList
11951--Decl,119511--FuncDecl
119822--FuncCall,1198221--printf
119811--FuncDecl,1198112--main
119312--_mergeSort,1193121--int
1196232322--ExprList,11962323222--temp
119728211--<=,1197282111--ArrayRef
11982--Compound,119822--FuncCall
119623242--FuncCall,1196232421--merge
1197111--ParamList,11971113--Decl
119728112---,1197281121--mid
1--FileAST,1196--FuncDef
119824--Return,1198241--0
11931131--left,119311311--int
11941141--mid,119411411--int
11962323--+=,119623231--inv_count
1197--FuncDef,11972--Compound
11972821--If,119728213--Compound
1196111--ParamList,11961111--Decl
11972114--=,119721141--ArrayRef
119522--Return,1195221--FuncCall
11972111--=,119721112--left
11981111--Decl,119811111--argv
1196--FuncDef,11961--Decl
1198111--ParamList,11981112--Decl
1197211--For,11972112--<=
119411--ParamList,1194111--Decl
1196232--Compound,11962321--=
1194115--Decl,11941151--right
